Product_Name,Category,Current_Price,Old_Price,Discount,Total_Ratings,Image_Link,Review_Rating,Review_Date,Verified_Purchase,Review_Text
Oraimo SpaceBuds Neo True Wireless Spatial Earbuds Sound360 Audio - Green,Home > Phones & Tablets > Mobile Phone Accessories > Bluetooth Accessories > Headsets,"₦ 18,795","₦ 45,000",58%,(79 verified ratings),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/03/5591114/1.jpg?0968,5 out of 5,No Date,Yes,Money well spent. The battery lasts and sounds great
Oraimo SpaceBuds Lite True Wireless Earbuds Sound360 Anti-Lost - Blue,Home > Phones & Tablets > Mobile Phone Accessories > Bluetooth Headsets,"₦ 15,390","₦ 27,000",43%,(46 verified ratings),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/1007814/1.jpg?3299,5 out of 5,No Date,Yes,Just what I wanted
Oraimo SpaceBuds Lite True Wireless Earbuds Sound360 Anti-Lost - Blue,Home > Phones & Tablets > Mobile Phone Accessories > Bluetooth Headsets,"₦ 15,390","₦ 27,000",43%,(46 verified ratings),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/1007814/1.jpg?3299,5 out of 5,No Date,Yes,The product is simply beautiful and I like it. The sound is also nice.
Oraimo SpaceBuds Lite True Wireless Earbuds Sound360 Anti-Lost - Blue,Home > Phones & Tablets > Mobile Phone Accessories > Bluetooth Headsets,"₦ 15,390","₦ 27,000",43%,(46 verified ratings),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/1007814/1.jpg?3299,5 out of 5,No Date,Yes,Perfect buds
LONTOR 1.5HP Horse Power Split Air Conditioner Energy Saving CTL-AC-JS12N,Home > Home & Office > Large Appliances & Home Improvement > Large Appliances > Air Conditioners & Accessories > Air Conditioners > Split-System,"₦ 296,910","₦ 480,000",38%,(23 verified ratings),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/6373682/1.jpg?5051,3 out of 5,No Date,Yes,"The product is nice. But it didn't come with a linkage wire and installation kit. I had to purchase those and spend heavily. But after installation, the cooling is so amazing. I'm still getting used to its cooling but you'll love it. It works so well"
LONTOR 1.5HP Horse Power Split Air Conditioner Energy Saving CTL-AC-JS12N,Home > Home & Office > Large Appliances & Home Improvement > Large Appliances > Air Conditioners & Accessories > Air Conditioners > Split-System,"₦ 296,910","₦ 480,000",38%,(23 verified ratings),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/6373682/1.jpg?5051,1 out of 5,No Date,Yes,This turns out to be a 1HP… and I couldn’t find the installation kits that work with it since it didn’t come with one.
LONTOR 1.5HP Horse Power Split Air Conditioner Energy Saving CTL-AC-JS12N,Home > Home & Office > Large Appliances & Home Improvement > Large Appliances > Air Conditioners & Accessories > Air Conditioners > Split-System,"₦ 296,910","₦ 480,000",38%,(23 verified ratings),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/6373682/1.jpg?5051,4 out of 5,No Date,Yes,Cooling is not effective compared to other brands  1.5hp
LONTOR 1.5HP Horse Power Split Air Conditioner Energy Saving CTL-AC-JS12N,Home > Home & Office > Large Appliances & Home Improvement > Large Appliances > Air Conditioners & Accessories > Air Conditioners > Split-System,"₦ 296,910","₦ 480,000",38%,(23 verified ratings),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/6373682/1.jpg?5051,3 out of 5,No Date,Yes,"The product is nice. But it didn't come with a linkage wire and installation kit. I had to purchase those and spend heavily. But after installation, the cooling is so amazing. I'm still getting used to its cooling but you'll love it. It works so well"
LONTOR 1.5HP Horse Power Split Air Conditioner Energy Saving CTL-AC-JS12N,Home > Home & Office > Large Appliances & Home Improvement > Large Appliances > Air Conditioners & Accessories > Air Conditioners > Split-System,"₦ 296,910","₦ 480,000",38%,(23 verified ratings),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/6373682/1.jpg?5051,1 out of 5,No Date,Yes,This turns out to be a 1HP… and I couldn’t find the installation kits that work with it since it didn’t come with one.
LONTOR 1.5HP Horse Power Split Air Conditioner Energy Saving CTL-AC-JS12N,Home > Home & Office > Large Appliances & Home Improvement > Large Appliances > Air Conditioners & Accessories > Air Conditioners > Split-System,"₦ 296,910","₦ 480,000",38%,(23 verified ratings),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/6373682/1.jpg?5051,4 out of 5,No Date,Yes,Cooling is not effective compared to other brands  1.5hp
Cool Breeze Longlasting Eau De Parfum,Home > Health & Beauty > Beauty & Personal Care > Fragrances > Men's > Eau de Parfum,"₦ 4,350","₦ 6,850",36%,(23 verified ratings),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/6669814/1.jpg?5280,5 out of 5,No Date,Yes,cool
Cool Breeze Longlasting Eau De Parfum,Home > Health & Beauty > Beauty & Personal Care > Fragrances > Men's > Eau de Parfum,"₦ 4,350","₦ 6,850",36%,(23 verified ratings),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/6669814/1.jpg?5280,3 out of 5,No Date,Yes,It smells like a village goat and it’s a matured kind of smell with long lasting
Cool Breeze Longlasting Eau De Parfum,Home > Health & Beauty > Beauty & Personal Care > Fragrances > Men's > Eau de Parfum,"₦ 4,350","₦ 6,850",36%,(23 verified ratings),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/6669814/1.jpg?5280,5 out of 5,No Date,Yes,Perfect scents for perfect occasions
Oraimo Necklace Lite Wireless Headphones Call Vibration 30Hr Playtime - Black,Home > Phones & Tablets > Mobile Phone Accessories > Bluetooth Accessories > Headsets,"₦ 18,795","₦ 38,025",51%,(180 verified ratings),https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/6994793/1.jpg?3421,5 out of 5,No Date,Yes,its ok
